"Label (Grouping)","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!65 years and over!!Estimate","Delaware!!65 years and over!!Margin of Error"
"            Entered  2000 to 2009","28.4%","±3.5","5.8%","±2.7"
"            Entered  before 2000","42.5%","±3.9","88.0%","±4.3"
"            Naturalized U.S. citizen","49.3%","±3.5","80.2%","±5.9"
"            Not a U.S. citizen","50.7%","±3.5","19.8%","±5.9"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","",""
"    Population 5 years and over","919,503","±384","189,638","±699"
"        English only","86.0%","±0.8","92.2%","±0.8"
"        Language other than English","14.0%","±0.8","7.8%","±0.8"
"            Speak English less than ""very well""","5.0%","±0.5","2.8%","±0.6"
"EMPLOYMENT STATUS","","","",""
"    Civilian population 16 years and over","786,379","±2,384","189,638","±699"
"        In labor force","62.1%","±0.7","17.5%","±1.4"
"            Employed","59.3%","±0.7","16.9%","±1.4"
"            Unemployed","2.9%","±0.4","0.7%","±0.3"
"                Percent of civilian labor force","4.6%","±0.6","3.7%","±1.6"
"        Not in labor force","37.9%","±0.7","82.5%","±1.4"
"INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Households","376,239","±3,536","115,063","±2,163"
"        With earnings","75.6%","±1.0","36.5%","±2.2"
"            Mean earnings (dollars)","89,598","±3,012","63,962","±8,356"
"        With Social Security income","35.9%","±0.7","93.4%","±0.9"
"            Mean Social Security income (dollars)","22,107","±607","23,296","±664"
"        With Supplemental Security Income","5.1%","±0.7","5.7%","±0.9"
"            Mean Supplemental Security Income (dollars)","10,419","±720","10,332","±1,161"
"        With cash public assistance income","2.8%","±0.5","2.0%","±0.7"
"            Mean cash public assistance income (dollars)","1,630","±430","2,076","±1,071"
"        With retirement income","32.9%","±1.1","71.1%","±1.9"
"            Mean retirement income (dollars)","32,289","±2,118","34,771","±2,912"
"        With Food Stamp/SNAP benefits","10.1%","±0.8","5.6%","±0.9"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Population for whom poverty status is determined","944,955","±1,977","185,743","±801"
"        Below 100 percent of the poverty level","11.3%","±1.2","7.3%","±1.3"
"        100 to 149 percent of the poverty level","6.6%","±0.9","5.2%","±1.0"
"        At or above 150 percent of the poverty level","82.1%","±1.3","87.6%","±1.5"
"Occupied housing units","376,239","±3,536","115,063","±2,163"
"    HOUSING TENURE","","","",""
"        Owner-occupied housing units","70.3%","±1.2","84.9%","±1.6"
"        Renter-occupied housing units","29.7%","±1.2","15.1%","±1.6"
"        Average household size of owner-occupied unit","2.57","±0.04","2.00","±0.07"
"        Average household size of renter-occupied unit","2.40","±0.08","1.46","±0.11"
"    SELECTED CHARACTERISTICS","","","",""
"        No telephone service available","0.5%","±0.2","0.8%","±0.5"
"        1.01 or more occupants per room","1.8%","±0.4","0.3%","±0.3"
"Owner-occupied housing units","264,503","±4,704","97,742","±2,547"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","78.9%","±1.1","76.7%","±1.9"
"        30 percent or more","21.1%","±1.1","23.3%","±1.9"
"    OWNER CHARACTERISTICS","","","",""
"        Median value (dollars)","261,700","±4,816","264,500","±7,897"
"        Median selected monthly owner costs with a mortgage (dollars)","1,557","±24","1,375","±49"
"        Median selected monthly owner costs without a mortgage (dollars)","463","±12","448","±13"
"Renter-occupied housing units","111,736","±5,001","17,321","±1,854"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","53.4%","±3.0","46.7%","±5.9"
"        30 percent or more","46.6%","±3.0","53.3%","±5.9"
"    GROSS RENT","","","",""
"        Median gross rent (dollars)","1,116","±22","950","±67"
